Date,Close,Adj Close
11-04-1996,631.18,631.18
12-04-1996,636.71,636.71
15-04-1996,642.49,642.49
16-04-1996,645,645
17-04-1996,641.61,641.61
18-04-1996,643.61,643.61
19-04-1996,645.07,645.07
22-04-1996,647.89,647.89
23-04-1996,651.58,651.58
24-04-1996,650.17,650.17
25-04-1996,652.87,652.87
26-04-1996,653.46,653.46
29-04-1996,654.16,654.16
30-04-1996,654.17,654.17
01-05-1996,654.58,654.58
02-05-1996,643.38,643.38
03-05-1996,641.63,641.63
06-05-1996,640.81,640.81
07-05-1996,638.26,638.26
08-05-1996,644.77,644.77
09-05-1996,645.44,645.44
10-05-1996,652.09,652.09
13-05-1996,661.51,661.51
14-05-1996,665.6,665.6
15-05-1996,665.42,665.42
16-05-1996,664.85,664.85
17-05-1996,668.91,668.91
20-05-1996,673.15,673.15
21-05-1996,672.76,672.76
22-05-1996,678.42,678.42
23-05-1996,676,676
24-05-1996,678.51,678.51
28-05-1996,672.23,672.23
29-05-1996,667.93,667.93
30-05-1996,671.7,671.7
31-05-1996,669.12,669.12
03-06-1996,667.68,667.68
04-06-1996,672.56,672.56
05-06-1996,678.44,678.44
06-06-1996,673.03,673.03
07-06-1996,673.31,673.31
10-06-1996,672.16,672.16
11-06-1996,670.97,670.97
12-06-1996,669.04,669.04
13-06-1996,667.92,667.92
14-06-1996,665.85,665.85
17-06-1996,665.16,665.16
18-06-1996,662.06,662.06
19-06-1996,661.96,661.96
20-06-1996,662.1,662.1
21-06-1996,666.84,666.84
24-06-1996,668.85,668.85
25-06-1996,668.48,668.48
26-06-1996,664.39,664.39
27-06-1996,668.55,668.55
28-06-1996,670.63,670.63
01-07-1996,675.88,675.88
02-07-1996,673.61,673.61
03-07-1996,672.4,672.4
05-07-1996,657.44,657.44
08-07-1996,652.54,652.54
09-07-1996,654.75,654.75
10-07-1996,656.06,656.06
11-07-1996,645.67,645.67
12-07-1996,646.19,646.19
15-07-1996,629.8,629.8
16-07-1996,628.37,628.37
17-07-1996,634.07,634.07
18-07-1996,643.56,643.56
19-07-1996,638.73,638.73
22-07-1996,633.77,633.77
23-07-1996,626.87,626.87
24-07-1996,626.65,626.65
25-07-1996,631.17,631.17
26-07-1996,635.9,635.9
29-07-1996,630.91,630.91
30-07-1996,635.26,635.26
31-07-1996,639.95,639.95
01-08-1996,650.02,650.02
02-08-1996,662.49,662.49
